CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,Latitude,Longitude,BriefFacts
11,FIR202600011,CASE202600011,2025-07-22,176,3,3,2,12,36,4,1,2025-07-22 07:14:25,2025-07-22 17:39:25,2025-07-22 18:30:25,15.969047,74.113851,"On 22nd July 2025 at around 7:14 pm, a complaint was filed by Watika Srivastava on behalf of Madhavi Manda, alleging illegal encroachment of her property by Tanvi Dubey and Parth Mody. The accused are reported to have damaged the complainant's property without any provocation. Further investigation is underway to determine"
12,FIR202600012,CASE202600012,2024-08-11,439,114,4,1,2,4,1,33,2024-08-11 07:43:36,2024-08-11 11:23:36,2024-08-11 11:48:36,12.490679,77.439156,"On 11th August 2024 at approximately 7:43 am, Naksh Bhandari, a resident of Kolar West Police Station in Kolar district, reported a robbery incident that occurred on the National Highway while he was traveling with his colleague Aayush Choudhury. The accused, Anirudh Chopra, allegedly snatched their bag containing cash and"
13,FIR202600013,CASE202600013,2024-12-13,313,169,4,1,10,29,5,50,2024-12-13 11:05:04,2024-12-13 16:40:04,2024-12-13 18:35:04,18.218091,78.185949,"On 13th December 2024 at around 11:05 am, Shaurya Virk, the complainant, lodged a complaint at Vijayanagara Town Police Station, Vijayanagara district, regarding an incident of sexual harassment committed against Tanvi Dubey and Pushti Mody by Bakhshi Narayanan, Nid"
14,FIR202600014,CASE202600014,2025-11-03,99,13,3,1,13,39,3,6,2025-11-03 10:22:09,2025-11-03 12:40:09,2025-11-03 13:40:09,11.716088,74.443388,"On 3rd November 2025 at around 10:22 am, Camp Police Station in Belagavi district received a complaint from Madhavi Manda regarding an organized crime case of smuggling. The complainant alleged that Anjali Chopra and Bakhshi Narayanan were kidnapped by Lakshit Verma, Triya Reddy, and Yagnesh"
15,FIR202600015,CASE202600015,2025-08-20,138,79,3,2,9,25,5,22,2025-08-19 19:44:45,2025-08-19 22:39:45,2025-08-20 00:04:45,15.950609,75.659114,"On 19th August 2025 at around 7:44 pm, Samar Dubey, the complainant, reported to Davanagere East Police Station that his 8-year-old daughter, Nidra Mangat, has gone missing. The missing child was last seen with Anmol Balasubramanian, a known acquaintance of the family, at their residence in Sury"
16,FIR202600016,CASE202600016,2024-12-29,297,23,2,2,3,8,2,8,2024-12-29 00:37:58,2024-12-29 10:26:58,2024-12-29 11:38:58,15.404366,77.330858,"On December 29th, 2024 at approximately 00:37:58 hours, a cybercrime was reported at Bengaluru Rural Town Police Station in Bengaluru Rural district. The complaint was filed by Parth Mody on behalf of Hardik Din and Aryan Krish, who were the victims of phishing attacks carried out by Amara Muni"
17,FIR202600017,CASE202600017,2025-09-21,251,147,1,2,15,44,3,43,2025-09-20 18:10:43,2025-09-20 22:13:43,2025-09-20 22:48:43,16.753036,77.515859,"On September 20, 2025 at approximately 6:10 PM, a public nuisance incident occurred at Shivamogga East Police Station in Shivamogga district. Bhavya Narayanan filed a complaint on behalf of Manya Verma and Sarthak Reddy, who were affected by the accused Oni Pandey, Daksha Hari, and W"
18,FIR202600018,CASE202600018,2026-02-26,304,145,4,2,14,40,5,42,2026-02-26 09:09:44,2026-02-26 12:17:44,2026-02-26 13:46:44,17.560041,73.99443,"On February 26th, 2026 at approximately 9:09am, Ira Din filed a complaint with Ramanagara North Police Station regarding an incident of drunk driving that occurred earlier that morning. The accused, Bishakha Dugar, was seen driving his vehicle erratically and in excess of the speed limit on NH-48, endangering the lives of other road"
19,FIR202600019,CASE202600019,2024-07-28,453,45,4,2,4,12,2,14,2024-07-27 21:15:10,2024-07-28 09:34:10,2024-07-28 10:30:10,15.608945,77.735466,"On 27th July 2024 at approximately 9:15 PM, a fraudulent investment scam was reported to KR Puram Police Station in Bengaluru Urban District. The complainant, Arya Krish, alleged that Falan Lata had deceived Vedhika Gopal into investing in a fake scheme, resulting in financial losses worth lakhs of ru"
20,FIR202600020,CASE202600020,2026-02-23,322,177,4,1,2,4,2,51,2026-02-23 18:43:08,2026-02-23 21:04:08,2026-02-23 21:11:08,11.651645,78.300677,"On 23rd February 2026 at approximately 1843 hours, Manya Verma, a resident of Vijayapura South Police Station jurisdiction, reported a robbery incident that occurred on the National Highway while she was traveling in her car with co-passenger Anmol Balasubramanian. The accused, Anusha Sankaran and Chandani Singhal, way"
21,FIR202600021,CASE202600021,2025-12-08,472,139,1,1,2,6,1,41,2025-12-08 04:46:14,2025-12-08 08:50:14,2025-12-08 10:50:14,14.160861,78.571263,"On 8th December 2025 at around 4:46 am, Triya Reddy, a resident of Raichur West Police Station, reported a chain snatching incident that occurred on Amara Muni, also a resident of the same locality. The accused, Vihaan Sachdev, allegedly snatched a gold chain worth Rs 50,000 from Muni's"
22,FIR202600022,CASE202600022,2025-03-25,75,24,2,1,5,15,4,8,2025-03-25 08:19:41,2025-03-25 12:53:41,2025-03-25 13:14:41,15.441998,77.257414,"On March 25, 2025, at approximately 8:19 am, Bengaluru Rural East Police Station received a complaint from Yagnesh Kanda regarding the murder of his daughter, Damyanti Sant, by her sister-in-law, Tanvi Chander. According to the complainant, Tanvi had been harboring ill feelings towards Damyanti due to cultural and social differences"
23,FIR202600023,CASE202600023,2024-11-12,151,123,4,1,13,38,2,36,2024-11-12 05:21:22,2024-11-12 07:27:22,2024-11-12 08:56:22,15.062855,74.446069,"On 12th November 2024 at around 5:21 am, a complaint was filed by Vihaan Gopal at Mandya North Police Station, Mandya district, regarding an organized crime of extortion committed by Bakhshi Majumdar, Girindra Khare and Advika Dhawan against Keya Shetty and Chaman Khurana. The complain"
24,FIR202600024,CASE202600024,2026-06-13,190,153,1,2,11,33,1,45,2026-06-12 20:32:54,2026-06-12 21:57:54,2026-06-12 23:35:54,12.596715,73.961883,"On 12th June 2026 at approximately 8:32 PM, Tumakuru East Police Station received a complaint from Anmol Balasubramanian regarding a forgery incident involving Noah Pandey and Daksha Hari. The accused, Harinakshi Gill, Pooja Mistry, and Laksh Anand, allegedly forged documents to obtain loans in"
25,FIR202600025,CASE202600025,2025-03-22,383,152,2,2,4,12,4,45,2025-03-22 17:06:38,2025-03-22 20:33:38,2025-03-22 21:01:38,12.565089,74.066069,"On March 22nd, 2025 at approximately 17:06:38 hours, a complaint was filed at Tumakuru Town Police Station by Agastya Muni regarding an investment scam perpetrated by Jeevika Ranganathan and Omisha Kant against Wakeeta Sastry and Turvi Kara. The complainant alleges that the accused had promised"
26,FIR202600026,CASE202600026,2024-09-28,396,146,1,1,8,24,1,43,2024-09-28 00:35:45,2024-09-28 02:16:45,2024-09-28 03:30:45,16.807229,77.540622,"On 28th September 2024 at approximately 00:35 am, a complaint was filed by Damyanti Sant at Shivamogga Town Police Station, Shivamogga district, regarding an incident of drug manufacturing involving Garima Sachdeva and Ikshita Das. The victim, Bishakha Dugar, alleges that the accused duo was found manufact"
27,FIR202600027,CASE202600027,2024-10-01,35,59,2,2,3,8,4,17,2024-09-30 21:15:09,2024-10-01 05:28:09,2024-10-01 07:23:09,13.362878,74.195166,"On 30th September 2024 at around 9:15 pm, a complaint was filed by Keya Shetty at Chikkaballapur East Police Station, regarding a cybercrime incident that occurred earlier that day. The victim, Falguni Lata, reported that she received an email from an unknown sender with a malicious link, which when clicked, compromised her sensitive personal"
28,FIR202600028,CASE202600028,2026-03-26,138,79,1,1,7,20,4,22,2026-03-25 19:20:42,2026-03-26 00:47:42,2026-03-26 02:21:42,15.939821,75.657854,"On 25th March 2026 at approximately 7:40 PM, Anusha Sankaran (victim) was kidnapped by Vyanjana Sen and Oeshi Divan (accused) from outside her residence in Davanagere East Police Station jurisdiction. The complainant, Chaman Khurana, reported that the victim was taken forcefully in a white Tata Safari"
29,FIR202600029,CASE202600029,2025-10-01,225,140,2,1,5,13,1,41,2025-10-01 04:13:12,2025-10-01 15:00:12,2025-10-01 16:14:12,14.189771,78.593815,"On 1st October 2025 at approximately 4:13 am, Raichur North Police Station received a complaint from Oni Pandey regarding the intentional murder of Chandani Singhal and Vihaan Sachdev by Vasana Rastogi and Nitesh Das. The complainant alleges that the accused had a personal enmity with the victims and attacked them with a sharp"
30,FIR202600030,CASE202600030,2026-02-24,272,97,4,2,9,27,2,28,2026-02-24 17:21:14,2026-02-24 18:53:14,2026-02-24 19:08:14,17.385003,77.553349,"On 24th February 2026 at around 17:21:14, a missing person report was filed at Haveri Town Police Station by Chandresh Hari regarding his friend Samar Chander who went missing after they were together at a party in Haveri. The complainant and the victim are known to each other and were last seen together at around 16:00"
31,FIR202600031,CASE202600031,2025-12-31,11,159,2,1,7,19,5,46,2025-12-30 23:03:04,2025-12-31 03:40:04,2025-12-31 05:01:04,12.633604,74.012168,"On 30th December 2025 at approximately 11:03 pm, Tumakuru Rural Police Station received a complaint from Wakeeta Sastry, the parent of Bakhshi Majumdar, who was kidnapped by Vaishnavi Sachdeva and Ekantika Kumer. The complainant alleges that her child was taken away by the accused without any consent"
32,FIR202600032,CASE202600032,2025-08-14,192,127,3,2,15,44,2,38,2025-08-13 13:04:41,2025-08-14 00:49:41,2025-08-14 01:34:41,15.849241,77.657119,"On 13th August 2025 at around 13:04:41 hours, a complaint was filed by Turvi Kara at Devaraja Police Station in Mysuru district regarding a public nuisance created by Nirja Sanghvi. The complainant alleged that the accused had parked her vehicle illegally on the road, obstructing the flow of traffic. Further"
33,FIR202600033,CASE202600033,2026-06-24,292,169,3,1,8,23,1,50,2026-06-24 07:31:48,2026-06-24 09:00:48,2026-06-24 10:24:48,18.23704,78.183472,"On 24th June 2026 at around 7:31 pm, a complaint was filed by Baljiwan Dugar regarding drug trafficking incident that occurred in Vijayanagara Town. The accused, Rudra Mukherjee and Faraj Borra, were involved in the illegal trade of narcotics. Advika Dhawan and Maanas Karan"
34,FIR202600034,CASE202600034,2025-04-22,255,143,2,2,9,26,2,42,2025-04-21 22:18:51,2025-04-22 05:14:51,2025-04-22 05:27:51,17.545473,74.028655,"On 21st April 2025 at around 10:38 PM, Falan Lata, the complainant, reported to Ramanagara East Police Station that Frederick Gill and Pooja Mistry, both adults, have been missing since the previous night. The last time they were seen was when they left their residence in the evening to attend a social gathering in the nearby locality. Their"
35,FIR202600035,CASE202600035,2025-08-25,499,33,3,1,10,30,5,10,2025-08-24 22:30:03,2025-08-25 00:12:03,2025-08-25 02:01:03,15.616924,77.72387,"On 24th August 2025 at around 10:30 pm, Anusha Sankaran, the complainant, lodged a complaint at Electronic City Police Station in Bengaluru Urban district, alleging that Laksh Anand was stalked by Bachittar Narayan and Omya Datta. The accused had been following the victim's movements and making unwanted calls"
36,FIR202600036,CASE202600036,2026-03-13,63,45,2,1,5,13,1,14,2026-03-12 18:32:48,2026-03-13 07:07:48,2026-03-13 07:31:48,15.586857,77.721818,"On March 12th, 2026 at approximately 6:32 PM, a murder occurred at a residential building located in KR Puram Police Station's jurisdiction area of Bengaluru Urban District. The victim, Dominic Chana and Isaiah Ranganathan were found dead with multiple stab wounds inside the building. Three accused, Om Deep, Wahab Hari, and Megh"
37,FIR202600037,CASE202600037,2025-10-12,381,119,3,2,4,12,3,34,2025-10-11 20:01:34,2025-10-12 05:32:34,2025-10-12 06:09:34,14.488362,76.686431,"On 11th October 2025 at around 8:01 pm, a complaint was filed by Vihaan Sachdev at Koppal North Police Station, Koppal district, regarding an investment scam committed by Christopher Mani, Patrick Khosla, and Orinder Khosla. The complainant, along with his wife Omisha Kant and father Faras Sachdeva,"
38,FIR202600038,CASE202600038,2026-04-05,32,112,3,2,1,1,3,33,2026-04-05 01:06:05,2026-04-05 04:46:05,2026-04-05 05:24:05,12.528917,77.401311,"On 5th April 2026 at approximately 1:06 am, Tanvi Chander, the complainant, reported to Kolar Town Police Station that her vehicle, a white Toyota Corolla bearing registration number KA-01-MB-3456, was stolen from outside her residence in Kolar. The accused, Idika Taneja, was identified as the person who took"
39,FIR202600039,CASE202600039,2025-09-12,289,55,4,2,9,25,1,16,2025-09-12 04:10:32,2025-09-12 07:06:32,2025-09-12 08:39:32,12.220283,75.764296,"On September 12, 2025 at approximately 4:10 am, Bhavya Majumdar reported to Chamarajanagar East Police Station that his 8-year-old son, Lakshit Dhillon, went missing from their residence in the area. The complainant stated that he last saw the child at around 9 pm on September 11, 2025 and"
40,FIR202600040,CASE202600040,2025-12-13,210,54,2,1,7,19,1,16,2025-12-12 19:59:50,2025-12-13 01:22:50,2025-12-13 03:22:50,12.269342,75.725495,"On 12th December 2025 at around 7:45 PM, Wazir Sen, a 9-year-old boy, was kidnapped by Pratyush Rajagopal, a 35-year-old man, from near his residence in Chamarajanagar Town. The complainant, Girindra Khare, reported the incident to the police station shortly after."
41,FIR202600041,CASE202600041,2024-08-25,455,18,2,2,11,31,3,7,2024-08-25 05:15:09,2024-08-25 15:11:09,2024-08-25 17:07:09,11.725916,74.434909,"On 25th August 2024 at approximately 05:15:09 pm, Vadgaon Police Station in Belagavi district received a complaint from Advika Dhawan regarding money laundering committed by Daniel Lala, Mason Dugar, and Rushil Srinivas against Oeshi Divan and Vasana Rastogi. According to the complainant,"
42,FIR202600042,CASE202600042,2025-01-03,233,90,2,2,14,40,2,25,2025-01-03 09:35:13,2025-01-03 16:36:13,2025-01-03 17:03:13,12.75315,77.361344,"On 03rd January, 2025 at approximately 9:35 am, a traffic crime was reported at Gadag West Police Station in Gadag district. The complainant, Maanas Karan, alleged that the accused, Ansh Balakrishnan, was driving under the influence of alcohol and caused an accident involving his vehicle and the victim, Omya Das. Further investigation is"
43,FIR202600043,CASE202600043,2025-02-17,325,84,2,1,5,13,1,23,2025-02-16 16:50:13,2025-02-17 00:45:13,2025-02-17 00:54:13,13.363306,78.321551,"On 16th February 2025 at approximately 4:50 pm, a murder occurred at 100, Main Road, Dharwad West Police Station, Dharwad district. The complainant, Harinakshi Gill, reported that her husband, Isaiah Sanghvi, was intentionally murdered by Sarthak Sule. Further investigation revealed that the accused and victim were known to"
44,FIR202600044,CASE202600044,2024-09-18,176,3,4,2,6,17,2,1,2024-09-18 16:36:14,2024-09-18 20:37:14,2024-09-18 22:06:14,15.933115,74.122267,"On September 18, 2024 at approximately 4:36 PM, Orinder Mistry filed a complaint at Bagalkote West Police Station in Bagalkote district, Karnataka, India, alleging that Ekavir Chatterjee and Jai Kale had seriously assaulted Raghav Saini."
45,FIR202600045,CASE202600045,2025-01-07,488,162,1,1,13,38,3,48,2025-01-06 22:11:15,2025-01-07 09:43:15,2025-01-07 10:39:15,15.051365,74.49197,"On January 6th, 2025 at approximately 10:11 PM, Mahika Anand filed a complaint at Udupi West Police Station in Udupi district regarding an organized crime incident involving extortion. The victim, Vaishnavi Sachdeva and Ekapad Kumer, reported that they were threatened and demanded money by Atharv Hayer, Yashoda Ratti,"
46,FIR202600046,CASE202600046,2024-10-04,468,133,1,1,2,5,2,38,2024-10-03 23:20:51,2024-10-04 09:36:51,2024-10-04 09:45:51,15.917298,77.606668,"On 3rd October 2024 at approximately 11:40 PM, Isaiah Ranganathan, a resident of Jayalakshmipuram, Mysuru reported to the police station that his wife Nirja Sanghvi was robbed of cash and valuables worth Rs. 50,000 by Zansi Puri at the Bank of Baroda branch located on"
47,FIR202600047,CASE202600047,2025-02-08,414,110,3,1,7,21,5,32,2025-02-08 11:27:56,2025-02-08 13:51:56,2025-02-08 15:51:56,12.99431,76.288852,"On 8th February 2025 at around 11:27 am, Kodagu West Police Station received a complaint from Omisha Kant regarding the kidnapping of Rudra Mukherjee and Ganga Borra by Nathan Srinivasan and Isha Yohannan. The victims were last seen at a resort in Kodagu where they had gone for their honeymoon"
48,FIR202600048,CASE202600048,2025-10-24,81,47,4,2,1,3,5,12,2025-10-24 04:49:47,2025-10-24 16:35:47,2025-10-24 18:14:47,15.628726,77.68275,"On 24th October 2025 at approximately 04:49:47 hours, a theft occurred at Zehaan Borah and Bhavani Seshadri's residence in Hennur Police Station jurisdiction, Bengaluru Urban district. The complainant, Garima Sachdeva, reported that Gaurangi Ray, Aarna Misra, and Girik Atwal were"
49,FIR202600049,CASE202600049,2025-04-12,342,56,3,1,10,29,1,16,2025-04-12 01:22:56,2025-04-12 14:19:56,2025-04-12 15:02:56,12.221825,75.734968,"On 12th April 2025 at around 1:22 am, Manya Dhillon, the complainant, reported to Chamarajanagar West Police Station that Bhavini Narayan, the victim, was sexually harassed by Dhriti Merchant and Pratyush Brahmbhatt. The incident took place near the bus stop on the main road in Chamar"
50,FIR202600050,CASE202600050,2025-04-16,443,34,4,2,12,35,5,14,2025-04-15 21:52:15,2025-04-16 01:04:15,2025-04-16 02:02:15,15.685031,77.734678,"On 15th April 2025 at around 9:47 pm, Wazir Sen, a resident of Om Deep, Madiwala, reported to the Madiwala Police Station that his property was vandalized by Baghyawati Setty, Bakhshi Sodhi, and Jasmit Aggarwal. The accused were seen damaging the compound wall and gate of the property with"
51,FIR202600051,CASE202600051,2024-12-21,400,70,2,1,10,30,3,21,2024-12-21 03:34:28,2024-12-21 11:09:28,2024-12-21 13:00:28,18.400303,77.949347,"On 21st December 2024 at around 3:34 am, a complaint was filed by Vasana Rastogi against Jagat Mittal for stalking his wife Wahab Hari. The complainant alleges that Mittal has been following and watching her wife without any legitimate reason, causing her immense fear and harassment. The incident occurred in Dakshina Kann"
52,FIR202600052,CASE202600052,2025-02-01,196,167,3,1,8,23,4,49,2025-01-31 13:19:54,2025-02-01 00:32:54,2025-02-01 01:42:54,15.069583,74.93471,"On 31st January 2025 at approximately 13:19:54 hours, a complaint was filed by Omya Das at Uttara Kannada West Police Station, Uttara Kannada district, regarding a drug offense. The accused, Falguni Mital, Qasim Chanda, and Dhriti Srinivas, were allegedly involved in drug"
53,FIR202600053,CASE202600053,2026-05-29,264,140,2,2,11,31,3,41,2026-05-29 01:03:39,2026-05-29 10:45:39,2026-05-29 12:11:39,14.165003,78.63949,"On May 29th, at approximately 1:03 am, Jeevika Sanghvi filed a complaint at Raichur North Police Station regarding an economic offense of money laundering. The accused, Kabir Suresh, Kala Bir, and Luke Badal, are alleged to have conspired and carried out the crime. The victim, Dayamai Mani and Qushi Khos"
54,FIR202600054,CASE202600054,2025-11-02,127,115,2,2,11,32,2,33,2025-11-02 02:23:46,2025-11-02 06:32:46,2025-11-02 06:40:46,12.499485,77.449824,"On 2nd November 2025 at around 2:23 am, Timothy Sachdeva, the complainant, reported to Kolar North Police Station that Jyoti Kakar, the accused, has committed tax fraud by misrepresenting his income and evading payment of taxes. The accused is a resident of Kolar and owns a business in the area. An investigation revealed that the"
55,FIR202600055,CASE202600055,2025-10-05,442,45,1,1,8,23,5,9,2025-10-05 01:40:49,2025-10-05 06:25:49,2025-10-05 07:59:49,15.599615,77.723819,"On 5th October 2025 at approximately 1:40 AM, a complaint was filed by Ekantika Kumer at KR Puram Police Station in Bengaluru Urban district regarding drug trafficking. The accused, Kavya Ramachandran and Umang Swaminathan, were allegedly found possessing and distributing drugs. The victims of this crime are Harish Bar"
56,FIR202600056,CASE202600056,2024-11-23,484,168,1,2,15,43,4,49,2024-11-23 12:07:36,2024-11-23 16:18:36,2024-11-23 18:05:36,15.066401,74.917657,"On 23rd November 2024 at approximately 12:07:36 PM, a rioting incident occurred at Uttara Kannada North Police Station in the district of Uttara Kannada. The complainant, Nirja Sanghvi, reported that the accused, Chatresh Chand, instigated a group of people to create a disturbance and cause damage to public"
57,FIR202600057,CASE202600057,2025-12-31,218,82,1,1,8,22,4,24,2025-12-30 12:35:24,2025-12-31 00:08:24,2025-12-31 01:24:24,13.330521,78.319264,"On 30th December 2025 at approximately 12:35 PM, Siya Mukherjee, the complainant, lodged a complaint at Dharwad Town Police Station, Dharwad district, regarding an incident of drug possession involving Radhika Rajagopal and Dhriti Lala. The accused, Peter Chander and Geetika Saran, were found in"
58,FIR202600058,CASE202600058,2024-11-18,285,106,4,1,10,30,5,31,2024-11-17 22:21:24,2024-11-18 06:14:24,2024-11-18 07:29:24,14.335139,74.356806,"On 17th November 2024 at around 10:21 pm, a complaint was filed by Faraj Borra at Kalaburagi Central Police Station regarding stalking of his friends Mason Dugar and Rushil Srinivas by Urvi Natt, Ronith Patla, and Vanya Srinivas. The complainant stated that the accused have been following his friends and"
59,FIR202600059,CASE202600059,2025-04-23,468,133,4,1,8,23,2,38,2025-04-22 14:14:26,2025-04-23 01:31:26,2025-04-23 03:14:26,15.91058,77.600282,"On 22nd April 2025 at around 14:14:26hrs, Bhavani Seshadri, a resident of Jayalakshmipuram, Mysuru reported to the police station that Owen Muni and Yauvani Ghosh were involved in drug trafficking. The complainant alleged that the accused had purchased drugs from an unknown source"
60,FIR202600060,CASE202600060,2026-07-06,27,6,4,1,2,6,3,2,2026-07-06 03:14:32,2026-07-06 07:31:32,2026-07-06 08:18:32,16.685706,77.098436,"On 6th July 2026 at approximately 3:14 am, Ballari Town Police Station received a complaint from Bachittar Narayan regarding chain snatching by Jalsa Jha. The victim, Triya Sule, was walking on the main road when Jha snatched her gold chain and fled the scene. A thorough investigation is underway to apprehend the accused and recover the"
61,FIR202600061,CASE202600061,2025-10-27,337,26,2,2,4,11,2,8,2025-10-27 07:26:53,2025-10-27 19:39:53,2025-10-27 19:52:53,15.427351,77.263704,"On October 27, 2025 at approximately 07:26:53 hours, a complaint was lodged by Omya Datta at the Bengaluru Rural North Police Station, regarding an incident of insurance fraud committed by Patrick Shankar. The victim, Ekavir Chatterjee, had purchased a life insurance policy from Shankar, who promised to pay out"
62,FIR202600062,CASE202600062,2025-08-28,121,128,4,2,1,1,4,40,2025-08-28 11:23:13,2025-08-28 19:20:13,2025-08-28 21:03:13,15.903235,77.614147,"On 28th August 2025 at around 11:23 am, a theft incident occurred in Alanahalli Police Station limits, Mysuru district. The complainant Om Deep reported that his vehicle (Honda City Registration Number KA-01-MB-6743) was stolen from outside his residence at Jai Nagar, Alanahalli. The accused W"
63,FIR202600063,CASE202600063,2025-11-28,89,176,4,1,8,22,3,51,2025-11-28 10:54:01,2025-11-28 16:42:01,2025-11-28 17:36:01,11.654772,78.316155,"On 28th November 2025 at approximately 10:54 am, Vrinda Hari, the complainant, reported to the Vijayapura North Police Station that Atharv Hayer, the victim, was found in possession of illegal drugs. The accused, Deepa Loyal and Upadhriti Gandhi, were identified as the suppliers of the drugs. Further"
64,FIR202600064,CASE202600064,2026-03-22,332,36,2,1,8,22,3,11,2026-03-22 11:04:13,2026-03-22 18:35:13,2026-03-22 18:43:13,15.597128,77.757329,"On March 22nd, at approximately 11:04 AM, Lucky Chacko filed a complaint with HAL Police Station in Bengaluru Urban district regarding a drug offense. The accused, Bhanumati Malhotra, Qarin Sha, and Xavier Oza, were allegedly found in possession of illegal drugs during a raid conducted by the police at a construction site where they"
65,FIR202600065,CASE202600065,2026-02-02,10,123,4,2,12,34,4,36,2026-02-02 07:05:50,2026-02-02 10:44:50,2026-02-02 11:57:50,15.096013,74.456917,"On February 2nd, at around 7:05 a.m., Falak Kibe filed a complaint with Mandya North Police Station regarding property damage caused by arson committed by Aayush Anand and Fitan Sarraf. According to the complainant, the accused intentionally set fire to her residential building, causing significant damage to property and endangering the lives of several individuals, including Falak K"
